vertex,x,y,z,basis,conductor
132,-8.9811602166000046e+00,-1.1543181326274597e-15,8.3999999999999932e+00,0,2
133,-8.6462523628000003e+00,-1.1553197041760179e-15,8.3999999999999932e+00,0,2
134,-5.4999999999999973e+00,-1.1647288500512467e-15,8.3999999999999932e+00,0,2
135,-1.8749999997499964e-01,-1.1806163510201464e-15,8.3999999999999932e+00,106,0
136,6.5000000000000053e+00,-1.2006159110631807e-15,8.3999999999999932e+00,0,1
137,6.8164791795999999e+00,-1.2015623700321233e-15,8.3999999999999932e+00,0,1
138,9.4091201579999986e+00,-1.2093158921132801e-15,8.3999999999999932e+00,0,1
139,9.4583333333500033e+00,-1.2094630684654782e-15,8.3999999999999932e+00,0,1
140,1.1750000000000002e+01,-1.2163165002559018e-15,8.3999999999999932e+00,0,1
141,1.1750000000000002e+01,-1.1622642279753326e-15,8.0057380650999832e+00,0,1
142,1.1750000000000002e+01,-9.4212177083431654e-16,6.3999999999999861e+00,0,1
143,1.1750000000000002e+01,-6.4943835607752538e-16,4.2651419348999831e+00,0,1
144,1.1750000000000002e+01,-6.1178487892234990e-16,3.9904942256999871e+00,0,1
145,1.1750000000000002e+01,-5.6132487486792686e-16,3.6224346049999920e+00,0,1
146,1.1750000000000002e+01,-2.0807963061080850e-16,1.0458333333249918e+00,0,1
147,1.1750000000000002e+01,-1.9340861667403219e-16,9.3882169259998627e-01,0,1
148,1.1750000000000002e+01,-1.1953758256956433e-16,3.9999999999999114e-01,0,1
149,1.1750000000000002e+01,1.7559782141227722e-17,-6.0000000000000808e-01,0,1
150,1.1750000000000002e+01,6.5545339002022054e-17,-9.5001078950001205e-01,0,1
151,1.1750000000000002e+01,2.0994711306933190e-16,-2.0032897812000088e+00,0,1
152,1.1750000000000002e+01,6.0574603929162485e-16,-4.8902812785000016e+00,0,1
153,1.1750000000000002e+01,7.5327924738400611e-16,-5.9664012199999972e+00,0,1
154,1.1750000000000002e+01,7.8282679910288818e-16,-6.1819236101000028e+00,0,1
155,1.1750000000000002e+01,8.4014397040597894e-16,-6.5999999999999961e+00,0,1
156,1.1750000000000002e+01,8.5505575164654057e-16,-6.7087678181999895e+00,0,1
157,1.1750000000000002e+01,1.0000000000000103e-01,-8.5999999999999925e+00,0,1
158,1.0858062549900001e+01,1.0000000000000103e-01,-8.5999999999999925e+00,0,1
159,9.5233990068000018e+00,1.0000000000000105e-01,-8.5999999999999925e+00,0,1
160,6.9641101095000018e+00,1.0000000000000105e-01,-8.5999999999999925e+00,0,1
161,6.5000000000000018e+00,1.0000000000000105e-01,-8.5999999999999925e+00,0,1
162,2.1041666666750003e+00,1.0000000000000106e-01,-8.5999999999999925e+00,107,0
163,-5.5000000000000009e+00,1.0000000000000109e-01,-8.5999999999999925e+00,0,2
164,-7.5416666666500038e+00,1.0000000000000109e-01,-8.5999999999999925e+00,0,2
165,-7.5977397706000023e+00,1.0000000000000109e-01,-8.5999999999999925e+00,0,2
166,-9.8333333333000024e+00,1.0000000000000110e-01,-8.5999999999999925e+00,0,2
167,-9.8333333333000024e+00,1.0000000000000106e-01,-8.3365619420999924e+00,0,2
168,-9.8333333333000024e+00,1.0000000000000082e-01,-6.5999999999999943e+00,0,2
169,-9.8333333333000024e+00,1.0000000000000081e-01,-6.5476897913999927e+00,0,2
170,-9.8333333333000024e+00,1.0000000000000042e-01,-3.6766970923999982e+00,0,2
171,-9.8333333333000024e+00,1.0000000000000037e-01,-3.3083277737999959e+00,0,2
172,-9.8333333333000024e+00,1.0000000000000034e-01,-3.0748338744000003e+00,0,2
173,-9.8333333333000024e+00,1.0000000000000009e-01,-1.2458333333249976e+00,0,2
174,-9.8333333333000024e+00,1.0000000000000001e-01,-6.0000000000000431e-01,0,2
175,-9.8333333333000024e+00,9.9999999999999978e-02,-4.2343121930000233e-01,0,2
176,-9.8333333333000024e+00,9.9999999999999867e-02,3.9999999999999503e-01,0,2
177,-9.8333333333000024e+00,9.9999999999999603e-02,2.2561429775999944e+00,0,2
178,-9.8333333333000024e+00,9.9999999999999520e-02,2.9161749516999946e+00,0,2
179,-9.8333333333000024e+00,9.9999999999999159e-02,5.4902959482999938e+00,0,2
180,-9.8333333333000024e+00,9.9999999999999034e-02,6.3999999999999977e+00,0,2
181,-9.8333333333000024e+00,9.9999999999998854e-02,7.7926541694999942e+00,0,2
182,-9.8333333333000024e+00,9.9999999999998770e-02,8.3999999999999932e+00,0,2
183,-9.1053861357000034e+00,9.9999999999998770e-02,8.3999999999999932e+00,0,2
184,-8.9811602166000046e+00,9.9999999999998770e-02,8.3999999999999932e+00,0,2
185,-8.6462523628000003e+00,9.9999999999998757e-02,8.3999999999999932e+00,0,2
186,-5.4999999999999973e+00,9.9999999999998757e-02,8.3999999999999932e+00,0,2
187,-1.8749999997499966e-01,9.9999999999998743e-02,8.3999999999999932e+00,108,0
188,6.5000000000000053e+00,9.9999999999998715e-02,8.3999999999999932e+00,0,1
189,6.8164791795999999e+00,9.9999999999998715e-02,8.3999999999999932e+00,0,1
190,9.4091201579999986e+00,9.9999999999998715e-02,8.3999999999999932e+00,0,1
191,9.4583333333500033e+00,9.9999999999998715e-02,8.3999999999999932e+00,0,1
192,1.1750000000000002e+01,9.9999999999998701e-02,8.3999999999999932e+00,0,1
193,1.1750000000000002e+01,9.9999999999998757e-02,8.0057380650999832e+00,0,1
194,1.1750000000000002e+01,9.9999999999998979e-02,6.3999999999999861e+00,0,1
195,1.1750000000000002e+01,9.9999999999999270e-02,4.2651419348999831e+00,0,1
196,1.1750000000000002e+01,9.9999999999999312e-02,3.9904942256999871e+00,0,1
197,1.1750000000000002e+01,9.9999999999999353e-02,3.6224346049999920e+00,0,1
198,1.1750000000000002e+01,9.9999999999999714e-02,1.0458333333249918e+00,0,1
199,1.1750000000000002e+01,9.9999999999999728e-02,9.3882169259998627e-01,0,1
200,1.1750000000000002e+01,9.9999999999999797e-02,3.9999999999999114e-01,0,1
201,1.1750000000000002e+01,9.9999999999999936e-02,-6.0000000000000808e-01,0,1
202,1.1750000000000002e+01,9.9999999999999978e-02,-9.5001078950001205e-01,0,1
203,1.1750000000000002e+01,1.0000000000000013e-01,-2.0032897812000088e+00,0,1
204,1.1750000000000002e+01,1.0000000000000052e-01,-4.8902812785000016e+00,0,1
205,1.1750000000000002e+01,1.0000000000000067e-01,-5.9664012199999972e+00,0,1
206,1.1750000000000002e+01,1.0000000000000070e-01,-6.1819236101000028e+00,0,1
207,1.1750000000000002e+01,1.0000000000000075e-01,-6.5999999999999961e+00,0,1
208,1.1750000000000002e+01,1.0000000000000077e-01,-6.7087678181999895e+00,0,1
209,1.1750000000000002e+01,2.0999999999999992e+00,-8.5999999999999925e+00,109,0
210,1.0858062549900001e+01,2.0999999999999992e+00,-8.5999999999999925e+00,110,0
211,9.5233990068000018e+00,2.0999999999999992e+00,-8.5999999999999925e+00,111,0
212,6.9641101095000018e+00,2.0999999999999992e+00,-8.5999999999999925e+00,112,0
213,6.5000000000000018e+00,2.0999999999999992e+00,-8.5999999999999925e+00,113,0
214,2.1041666666749999e+00,2.0999999999999992e+00,-8.5999999999999925e+00,114,0
215,-5.5000000000000009e+00,2.0999999999999992e+00,-8.5999999999999925e+00,115,0
216,-7.5416666666500038e+00,2.0999999999999996e+00,-8.5999999999999925e+00,116,0
217,-7.5977397706000023e+00,2.0999999999999996e+00,-8.5999999999999925e+00,117,0
218,-9.8333333333000024e+00,2.0999999999999996e+00,-8.5999999999999925e+00,118,0
219,-9.8333333333000024e+00,2.0999999999999992e+00,-8.3365619420999924e+00,119,0
220,-9.8333333333000024e+00,2.0999999999999992e+00,-6.5999999999999943e+00,120,0
221,-9.8333333333000024e+00,2.0999999999999992e+00,-6.5476897913999927e+00,121,0
