x,y,z,V,triangle
4.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,58
4.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,58
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,59
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,59
5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,59
4.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,60
5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,60
4.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,60
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,61
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,61
-3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,61
5.0000000000000000e-01,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,62
-3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,62
5.0000000000000000e-01,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,62
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,63
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,63
-5.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,63
-3.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,64
-5.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,64
-3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,64
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,65
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,65
-5.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,65
-5.0000000000000000e+00,3.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,66
-5.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,66
-5.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,66
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,67
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,67
-5.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,67
-5.0000000000000000e+00,1.5000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,68
-5.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,68
-5.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,68
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,69
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,69
-5.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,69
-5.0000000000000000e+00,1.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,70
-5.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,70
-5.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,70
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,71
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,71
-5.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,71
-5.0000000000000000e+00,8.1818181819999936e-01,-5.0000000000000003e-02,0.0000000000000000e+00,72
-5.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,72
-5.0000000000000000e+00,8.1818181819999936e-01,0.0000000000000000e+00,0.0000000000000000e+00,72
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,73
-5.0000000000000000e+00,0.0000000000000000e+00,-5.0000000000000003e-02,0.0000000000000000e+00,73
-5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,73
-5.0000000000000000e+00,1.8181818180000064e-01,-5.0000000000000003e-02,0.0000000000000000e+00,74
-5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,74
-5.0000000000000000e+00,1.8181818180000064e-01,0.0000000000000000e+00,0.0000000000000000e+00,74
